rowname,my_crossing_reference,source,easting,northing,utm_easting,utm_northing
1,1805532,pscis_phase1.xlsm,NA,NA,685314.0580809384,6030316.959229708
2,2021080301,pscis_phase1.xlsm,NA,NA,NA,NA
3,1800360,pscis_phase1.xlsm,NA,NA,685353.2733065855,6030520.354068853
4,1800180,pscis_phase1.xlsm,NA,NA,683420.6526319787,6032258.14516039
5,1800372,pscis_phase1.xlsm,681279,6032345,681279,6032345
6,1803682,pscis_phase1.xlsm,NA,NA,682026.1341247142,6028531.033015807
7,1803706,pscis_phase1.xlsm,NA,NA,683683.8868402719,6024930.050518725
8,1802611,pscis_phase1.xlsm,685706,6023769,685706,6023769
9,1803697,pscis_phase1.xlsm,NA,NA,687646.9409295861,6021923.054880318
10,2021083002,pscis_phase1.xlsm,687557,6020572,687557,6020572
11,1804694,pscis_phase1.xlsm,NA,NA,688604.0000581215,6019911.05317269
12,2021083003,pscis_phase1.xlsm,686933,6023054,686933,6023054
13,1802106,pscis_phase1.xlsm,NA,NA,670963.0458371894,6046221.19780876
14,1802088,pscis_phase1.xlsm,NA,NA,669947.0407196158,6047216.99993016
15,1802089,pscis_phase1.xlsm,NA,NA,668873.0486910826,6046967.061127781
16,14000613,pscis_phase1.xlsm,5888851,6003123,5888851,6003123
17,14000621,pscis_phase1.xlsm,NA,NA,589552.4937738914,6003685.232236896
18,14000614,pscis_phase1.xlsm,NA,NA,590839.4049998408,6004384.771394491
19,14000944,pscis_phase1.xlsm,NA,NA,591400.3215224267,6004533.195131515
20,14001249,pscis_phase1.xlsm,NA,NA,591714.9849755657,6005281.73777944
21,14000725,pscis_phase1.xlsm,NA,NA,598299.7678897096,6007625.522561058
22,14001542,pscis_phase1.xlsm,NA,NA,595641.4811303761,6007684.8481979715
23,14000828,pscis_phase1.xlsm,NA,NA,599393.9530754198,6008488.741848515
24,14000949,pscis_phase1.xlsm,601529,6006865,601529,6006865
25,14000954,pscis_phase1.xlsm,NA,NA,603333.0879602638,6007072.147367
26,14000908,pscis_phase1.xlsm,NA,NA,604357.2506746983,6009290.530872238
27,14001002,pscis_phase1.xlsm,NA,NA,606614.9994075357,6006103.999061061
28,14001000,pscis_phase1.xlsm,NA,NA,613231.060749796,6005506.004535294
29,14000997,pscis_phase1.xlsm,NA,NA,613579.0048652465,6005551.001531489
30,14000988,pscis_phase1.xlsm,NA,NA,618098.0935921685,6005788.076525036
31,1014000931,pscis_phase1.xlsm,NA,NA,NA,NA
32,14000932,pscis_phase1.xlsm,NA,NA,602457.772060168,5984531.544465486
33,140017241,pscis_phase1.xlsm,NA,NA,NA,NA
34,14001775,pscis_phase1.xlsm,NA,NA,607923.5578157573,5987440.566760023
35,14001414,pscis_phase1.xlsm,NA,NA,607342.9239598012,5987705.469896566
36,14001411,pscis_phase1.xlsm,NA,NA,607303.3490997546,5987118.618168276
37,2021090299,pscis_phase1.xlsm,598684,5984563,598684,5984563
38,14000536,pscis_phase1.xlsm,NA,NA,598400.6182786126,5984485.499396313
39,2021090201,pscis_phase1.xlsm,649728,6029328,649728,6029328
40,2021090202,pscis_phase1.xlsm,605230,5992698,605230,5992698
41,14000312,pscis_phase1.xlsm,NA,NA,602253.5489108245,5994059.354340743
42,14000477,pscis_phase1.xlsm,NA,NA,602528.9790643292,5994071.177824711
43,14000564,pscis_phase1.xlsm,NA,NA,608289.8273038963,6021336.30616663
44,14000689,pscis_phase1.xlsm,NA,NA,608006.4210904102,6018209.049538495
45,2021090301,pscis_phase1.xlsm,607829,6016958,607829,6016958
46,14000684,pscis_phase1.xlsm,NA,NA,607024.3180425045,6013942.086958796
47,2021090302,pscis_phase1.xlsm,NA,NA,NA,NA
48,14000680,pscis_phase1.xlsm,NA,NA,612913.4075271685,6009066.922623564
49,14001323,pscis_phase1.xlsm,NA,NA,612980.5462660097,6011439.162169048
50,2021090303,pscis_phase1.xlsm,614402,6010350,614402,6010350
51,2021090399,pscis_phase1.xlsm,614676,6007859,614676,6007859
52,14001177,pscis_phase1.xlsm,NA,NA,620026.222664596,6010830.7737105535
53,14000690,pscis_phase1.xlsm,NA,NA,625491.3954837625,6008365.028446343
54,14001563,pscis_phase1.xlsm,NA,NA,630001.2045590393,6009751.8607862955
55,14000696,pscis_phase1.xlsm,NA,NA,630596.4192085973,6010649.859277644
56,1800422,pscis_phase1.xlsm,NA,NA,679525.365210868,6039648.978845871
57,1801133,pscis_phase1.xlsm,NA,NA,674339.0664006141,6039594.990887106
58,1801969,pscis_phase1.xlsm,NA,NA,673797.0581073366,6038905.992173444
59,1803928,pscis_phase1.xlsm,NA,NA,691148.0568546182,6033244.7100853715
60,1804238,pscis_phase1.xlsm,NA,NA,675156.0061898355,6039878.014795246
61,24704566,pscis_phase1.xlsm,NA,NA,605785.5589380437,6099883.827117267
62,14000991,pscis_phase1.xlsm,NA,NA,623922.9920832458,6005103.9063589135
63,14000798,pscis_phase1.xlsm,NA,NA,643460.2936410103,6025889.542263873
64,1805531,pscis_phase1.xlsm,NA,NA,690763.8072540782,6031192.332917927
65,1805529,pscis_phase1.xlsm,NA,NA,691218.308542116,6031478.405814069
66,2021083150,pscis_phase1.xlsm,691168.99,6031457.8,691168.99,6031457.8
67,1800049,pscis_phase1.xlsm,NA,NA,692281.2210103631,6032071.8177236235
68,1800050,pscis_phase1.xlsm,NA,NA,692434.6007529498,6032330.509748365
69,1801117,pscis_phase1.xlsm,NA,NA,690733.005845065,6032353.077841129
70,1800583,pscis_phase1.xlsm,NA,NA,689261.9995599053,6033534.9500875035
71,1803813,pscis_phase1.xlsm,NA,NA,684415.023861442,6035809.070986188
72,1805000,pscis_phase1.xlsm,NA,NA,685301.0275171101,6036064.9992093705
73,1802040,pscis_phase1.xlsm,NA,NA,684950.0834721477,6035440.028100938
74,1802039,pscis_phase1.xlsm,NA,NA,685413.5221010451,6035362.118879938
75,1800356,pscis_phase1.xlsm,NA,NA,680383.1869017164,6040055.508327898
76,1801122,pscis_phase1.xlsm,NA,NA,680832.00003985,6040044.96251811
77,1800355,pscis_phase1.xlsm,NA,NA,680644.7679826692,6039755.554755146
78,2021090150,pscis_phase1.xlsm,592509.83,6004822.95,592509.83,6004822.95
79,2021090151,pscis_phase1.xlsm,592921.92,6005009.31,592921.92,6005009.31
80,2021090152,pscis_phase1.xlsm,595765.26,6006121.52,595765.26,6006121.52
81,14000956,pscis_phase1.xlsm,NA,NA,596610.5305817063,6006122.919618723
82,2021090153,pscis_phase1.xlsm,596697.95,6006213.34,596697.95,6006213.34
